Word,Phonetic,Frequency,Definition,Cloze Test,Chinese Definition,Unit
vulnerable,[ˈvʌlnərəbl],3 / 5,"1. ADJ Someone who is vulnerable is weak and without protection, with the result that they are easily hurt physically or emotionally. | 2. N-VAR vulnerability | 3. ADJ If a person, animal, or plant is vulnerable to a disease, they are more likely to get it than other people, animals, or plants.","ADJ Someone who is ___ is weak and without protection, with the result that they are easily hurt physically or emotionally.",易受伤害的 | 脆弱 | 容易患…病的 | 患病的可能性 | 易受损害的 | 易受攻击性,Unit 4
intervene,[ˌɪntəˈviːn],2 / 5,"1. V-I If you intervene in a situation, you become involved in it and try to change it. | 2. V-I If you intervene , you interrupt a conversation in order to add something to it. | 3. V-I If an event intervenes , it happens suddenly in a way that stops, delays, or prevents something from happening.","V-I If you ___ in a situation, you become involved in it and try to change it.",干预 | 插话 | 干扰,Unit 4
profile,[ˈprəʊfaɪl],3 / 5,"1. N-COUNT Your profile is the outline of your face as it is seen when someone is looking at you from the side. ( | 2. N-UNCOUNT If you see someone in profile , you see them from the side. | 3. N-COUNT A profile of someone is a short article or programme in which their life and character are described. (",N-COUNT Your ___ is the outline of your face as it is seen when someone is looking at you from the side. (,面部的) 侧面轮廓 | 从侧面 | 有关某人的) 简介 | 书面的) 描述 [oft N 'of' n] | 进行描画 [usu with supp] | 高关注度,Unit 4
insight,[ˈɪnsaɪt],2 / 5,"1. N-VAR If you gain insight or an insight into a complex situation or problem, you gain an accurate and deep understanding of it. | 2. N-UNCOUNT If someone has insight , they are able to understand complex situations.","N-VAR If you gain ___ or an ___ into a complex situation or problem, you gain an accurate and deep understanding of it.",深入了解; 深刻见解 | 洞察力,Unit 4
divulge,[daɪˈvʌldʒ],1 / 5,"1. V-T If you divulge a piece of secret or private information, you tell it to someone.","V-T If you ___ a piece of secret or private information, you tell it to someone.",泄露 [正式],Unit 4
disconnect,[ˌdɪskəˈnekt],1 / 5,"1. V-T To disconnect a piece of equipment means to separate it from its source of power or to break a connection that it needs in order to work. | 2. V-T If you are disconnected by a gas, electricity, water, or telephone company, they turn off the connection to your house, usually because you have not paid the bill. | 3. V-T If you disconnect something from something else, you separate the two things.",V-T To ___ a piece of equipment means to separate it from its source of power or to break a connection that it needs in order to work.,断开 | 切断 (煤气、电、水、电话等的) 供应 [usu passive] | 使分离,Unit 5
relaxation,[ˌriːlækˈseɪʃ(ə)n],2 / 5,"1. N-UNCOUNT Relaxation is a way of spending time in which you rest and feel comfortable. | 2. N-UNCOUNT If there is relaxation of a rule or control, it is made less firm or strong. (",N-UNCOUNT ___ is a way of spending time in which you rest and feel comfortable.,休息 | 规定或控制的) 放松,Unit 5
recharge,[ˌriːˈtʃɑːdʒ],1 / 5,"1. V-T If you recharge a battery, you put an electrical charge back into the battery by connecting it to a machine that draws power from another source of electricity. | 2. PHRASE If you recharge your batteries , you take a break from activities which are tiring or difficult in order to relax and feel better when you return to these activities.","V-T If you ___ a battery, you put an electrical charge back into the battery by connecting it to a machine that draws power from another source of electricity.",给(电池)充电 | 放松; 补充精力; 恢复精力,Unit 5
skinny,[ˈskɪni],1 / 5,"1. ADJ A skinny person is extremely thin, often in a way that you find unattractive.","ADJ A ___ person is extremely thin, often in a way that you find unattractive.",瘦得皮包骨的 [非正式],Unit 5
spice,[spaɪs],2 / 5,"1. N-MASS A spice is a part of a plant, or a powder made from that part, which you put in food to give it flavour. Cinnamon, ginger, and paprika are spices. | 2. V-T If you spice something that you say or do, you add excitement or interest to it. | 3. PHRASAL VERB Spice up means the same as .","N-MASS A ___ is a part of a plant, or a powder made from that part, which you put in food to give it flavour. Cinnamon, ginger, and paprika are ___s.",香料 | 给…增加趣味 | 给…增加趣味 (同)(spice),Unit 5
exotic,[ɪɡˈzɒtɪk],2 / 5,"1. ADJ Something that is exotic is unusual and interesting,usually because it comes from or is related to a distant country.","ADJ Something that is ___ is unusual and interesting,usually because it comes from or is related to a distant country.", (常因来自遥远的他国而显得) 奇异的,Unit 5
embrace,[ɪmˈbreɪs],2 / 5,"1. V-RECIP If you embrace someone, you put your arms around them and hold them tightly, usually in order to show your love or affection for them. You can also say that two people embrace . | 2. N-COUNT Embrace is also a noun. | 3. V-T If you embrace a change, political system, or idea, you accept it and start supporting it or believing in it.","V-RECIP If you ___ someone, you put your arms around them and hold them tightly, usually in order to show your love or affection for them. You can also say that two people ___ .",拥抱 | 拥抱 | 欣然接受; 信奉 [正式] | 欣然接受; 信奉 | 囊括 [正式] | 笼络(陪审员等) [criminal law],Unit 5
erase,[ɪˈreɪz],1 / 5,"1. V-T If you erase a thought or feeling, you destroy it completely so that you can no longer remember something or no longer feel a particular emotion. | 2. V-T If you erase sound that has been recorded on a tape or information which has been stored in a computer, you completely remove or destroy it. | 3. V-T If you erase something such as writing or a mark, you remove it, usually by rubbing it with a cloth.","V-T If you ___ a thought or feeling, you destroy it completely so that you can no longer remember something or no longer feel a particular emotion.",抹去; 消除 | 抹掉; 删除 | 擦掉 (字迹),Unit 5
cement,[sɪˈment],2 / 5,1. N-UNCOUNT Cement is a grey powder which is mixed with sand and water in order to make concrete. | 2. N-UNCOUNT Cement is the same as . | 3. N-UNCOUNT Glue that is made for sticking particular substances together is sometimes called cement .,N-UNCOUNT ___ is a grey powder which is mixed with sand and water in order to make concrete.,水泥 | 混凝土 | 胶合剂 | 巩固 (关系、协约) | 使黏结 [usu passive],Unit 5
nostalgic,[nɒˈstældʒɪk],1 / 5,"1. ADJ Nostalgic things cause you to think affectionately about the past. | 2. ADJ If you feel nostalgic , you think affectionately about experiences you had in the past. | 3. ADV nostalgically",ADJ ___ things cause you to think affectionately about the past.,引起怀旧的 | 怀旧的 | 怀旧地,Unit 5
route,[ruːt],4 / 5,"1. N-COUNT A route is a way from one place to another. | 2. N-COUNT A bus, air, or shipping route is the way between two places along which buses, planes, or ships travel regularly. ( | 3. N-IN-NAMES In the United States, Route is used in front of a number in the names of main roads between major cities. (…",N-COUNT A ___ is a way from one place to another.,路线 | 公共汽车的) 行车路线; (飞机、轮船的) 航线 | 号) 公路 | 巡访 [美国英语] | 途径 | 为…规定路线 [usu passive] | 在途中 | 在…的过程中; 在…之前,Unit 5
itinerary,[aɪˈtɪnərəri],1 / 5,"1. N-COUNT An itinerary is a plan of a trip, including the route and the places that you will visit.","N-COUNT An ___ is a plan of a trip, including the route and the places that you will visit.",旅行计划,Unit 5
membership,[ˈmembəʃɪp],3 / 5,"1. N-UNCOUNT Membership in an organization is the state of being a member of it. | 2. N-VAR-COLL The membership of an organization is the people who belong to it, or the number of people who belong to it.",N-UNCOUNT ___ in an organization is the state of being a member of it.,成员身份 | 全体成员; 成员数,Unit 5
territory,[ˈterətri],4 / 5,1. N-VAR Territory is land which is controlled by a particular country or ruler. | 2. N-COUNT A territory is a country or region that is controlled by another country. | 3. N-UNCOUNT You can use territory to refer to an area of knowledge or experience.,N-VAR ___ is land which is controlled by a particular country or ruler.,领土 | 属地 | 领域 [with supp] | 动物的) 地盘 | 具有某种特征的) 地带,Unit 5
executive,[ɪɡˈzekjətɪv],4 / 5,"1. N-COUNT An executive is someone who is employed by a business at a senior level. Executives decide what the business should do, and ensure that it is done. | 2. ADJ The executive sections and tasks of an organization are concerned with the making of decisions and with ensuring that decisions are carried out. | 3. ADJ Executive goods are expensive products designed or intended for executives and other people at a similar social or economic level.","N-COUNT An ___ is someone who is employed by a business at a senior level. ___s decide what the business should do, and ensure that it is done.","执行总监 | 执行的 [ADJ n] | 高级的 [ADJ n] | 执行委员会 ['the' N, N n] | 政府的) 行政部门 ['the' N, N n]",Unit 5
seasoned,[ˈsiːz(ə)nd],1 / 5,"1. ADJ You can use seasoned to describe a person who has a lot of experience of something. For example, a seasoned traveller is a person who has travelled a lot.","ADJ You can use ___ to describe a person who has a lot of experience of something. For example, a ___ traveller is a person who has travelled a lot.",经验丰富的,Unit 5
premium,[ˈpriːmiəm],3 / 5,1. N-COUNT A premium is a sum of money that you pay regularly to an insurance company for an insurance policy. | 2. N-COUNT A premium is a sum of money that you have to pay for something in addition to the normal cost. | 3. ADJ Premium products are of a higher than usual quality and are often expensive.,N-COUNT A ___ is a sum of money that you pay regularly to an insurance company for an insurance policy.,保险费 | 附加费 | 高端的 [ADJ n] | 求之难得 | 以高价 (买、卖),Unit 5
priority,[praɪˈɒrəti],3 / 5,"1. N-COUNT If something is a priority , it is the most important thing you have to do or deal with, or must be done or dealt with before everything else you have to do. | 2. PHRASE If you give priority to something or someone, you treat them as more important than anything or anyone else. | 3. PHRASE If something takes priority or has priority over other things, it is regarded as being more important than them and is dealt with first.","N-COUNT If something is a ___ , it is the most important thing you have to do or deal with, or must be done or dealt with before everything else you have to do.",优先处理的事 | 优先考虑 | 有优先性,Unit 5
amid,[əˈmɪd],3 / 5,"1. PREP If something happens amid noises or events of some kind, it happens while the other things are happening.","PREP If something happens ___ noises or events of some kind, it happens while the other things are happening.",在…当中,Unit 5
penetrate,[penɪtreɪt],3 / 5,"1. V-T If something or someone penetrates a physical object or an area, they succeed in getting into it or passing through it. | 2. V-T If a company or country penetrates a market or area, they succeed in selling their products there.","V-T If something or someone ___ a physical object or an area, they succeed in getting into it or passing through it.",n. 穿透，渗透，进入；（产品对市场的）渗透度，占有率；（某种信仰在某一社会的）渗透；（为刺探情报对某团体、企业等的）渗入；洞察力；（阴茎的）插入,Unit 5
retiree,[rɪˌtaɪəˈriː],1 / 5,1. N-COUNT A retiree is a retired person.,N-COUNT A ___ is a retired person.,退休人员 [美国英语],Unit 5
undeniable,[ˌʌndɪˈnaɪəbl],1 / 5,"1. ADJ If you say that something is undeniable , you mean that it is definitely true. | 2. ADV undeniably","ADJ If you say that something is ___ , you mean that it is definitely true.",无可否认的 | 无可否认地,Unit 5
convert,[kənˈvɜːt],3 / 5,"1. V-T/V-I If one thing is converted or converts into another, it is changed into a different form. | 2. V-T If someone converts a room or building, they alter it in order to use it for a different purpose. | 3. V-T If you convert a vehicle or piece of equipment, you change it so that it can use a different fuel.","V-T/V-I If one thing is ___ed or ___s into another, it is changed into a different form.",转变 | 改建 | 改装 | 换算 | 改变信仰 | 改变信仰的人 [oft N 'to' n] | 热衷…的人 [usu N 'to' n],Unit 5
shot,[ʃɒt],4 / 5,1. Shot is the past tense and past participle of . (shoot) | 2. N-COUNT A shot is an act of firing a gun. | 3. N-COUNT Someone who is a good shot can shoot well. Someone who is a bad shot cannot shoot well.,___ is the past tense and past participle of . (shoot),的过去式和过去分词 | 开枪 | 射击手 | 射门; 击球; 投篮 | 照片; (电影的) 连续镜头 | 尝试 [非正式] | 注射 | 一小杯 | 铅弹 | 将子弹上膛 | 闪色的 | 铅球 [sport] | 尽力做某事 [非正式] | 发号施令 | 立刻; 毫不迟疑地 [非正式] | 胜算不大的尝试 | 根本 (表示强调) [强调],Unit 5
massive,[ˈmæsɪv],3 / 5,"1. ADJ Something that is massive is very large in size, quantity, or extent. ( | 2. ADV massively | 3. ADJ If you describe a medical condition as massive , you mean that it is extremely serious.","ADJ Something that is ___ is very large in size, quantity, or extent. (",尺寸、数量、规模) 非常大的 [强调] | 非常大地 | 严重的 [ADJ n],Unit 5
parade,[pəˈreɪd],2 / 5,"1. N-COUNT A parade is a procession of people or vehicles moving through a public place in order to celebrate an important day or event. | 2. V-I When people parade somewhere, they walk together in a formal group or a line, usually with other people watching them. | 3. N-VAR Parade is a formal occasion when soldiers stand in lines to be seen by an officer or important person, or march in a group.",N-COUNT A ___ is a procession of people or vehicles moving through a public place in order to celebrate an important day or event.,游行 | 游行 | 阅兵式 [oft 'on' N] | 把…游街; 把…示众 [usu passive] | 为使自己获益而) 展示 [usu passive] | 为炫耀而) 展示 | 吹嘘; 夸耀,Unit 5
souvenir,[ˌsuːvəˈnɪə(r)],1 / 5,"1. N-COUNT A souvenir is something which you buy or keep to remind you of a holiday, place, or event.","N-COUNT A ___ is something which you buy or keep to remind you of a holiday, place, or event.",纪念品,Unit 5
location,[ləʊˈkeɪʃn],3 / 5,1. N-COUNT A location is the place where something happens or is situated. | 2. N-COUNT The location of someone or something is their exact position. | 3. N-VAR A location is a place away from a studio where a film or part of a film is made.,N-COUNT A ___ is the place where something happens or is situated.,地点 | 准确位置 | 外景拍摄地,Unit 5
scheme,[skiːm],4 / 5,"1. N-COUNT A scheme is someone's plan for achieving something, especially something that will bring them some benefit. | 2. V-T/V-I If you say that people are scheming , you mean that they are making secret plans in order to gain something for themselves. | 3. N-COUNT A scheme is a plan or arrangement involving many people which is made by a government or other organization. (","N-COUNT A ___ is someone's plan for achieving something, especially something that will bring them some benefit.",计划 | 密谋 [oft cont] [表不满] | 政府或其他机构的) 大规模计划 [英国英语] | 天地万物的格局,Unit 5
surcharge,[ˈsɜːtʃɑːdʒ],1 / 5,"1. N-COUNT A surcharge is an extra payment of money in addition to the usual payment for something. It is added for a specific reason, for example by a company because costs have risen or by a government as a tax.","N-COUNT A ___ is an extra payment of money in addition to the usual payment for something. It is added for a specific reason, for example by a company because costs have risen or by a government as a tax.",附加费,Unit 5
collapse,[kəˈlæps],4 / 5,"1. V-I If a building or other structure collapses , it falls down very suddenly. | 2. N-UNCOUNT Collapse is also a noun. | 3. V-I If something, for example a system or institution, collapses , it fails or comes to an end completely and suddenly. (","V-I If a building or other structure ___s , it falls down very suddenly.",坍塌 | 坍塌 | 系统或制度等) 崩溃; 瓦解 | 系统或制度等的) 崩溃; 瓦解 | 晕倒; 倒下 | 晕倒; 倒下 | 因极度疲倦而) 瘫坐; 瘫倒,Unit 5
premise,[ˈpremɪs],2 / 5,1. N-PLURAL The premises of a business or an institution are all the buildings and land that it occupies in one place. | 2. N-COUNT A premise is something that you suppose is true and that you use as a basis for developing an idea.,N-PLURAL The ___s of a business or an institution are all the buildings and land that it occupies in one place.,经营场所; 办公场所 | 前提 [正式],Unit 5
hospitality,[ˌhɒspɪˈtæləti],1 / 5,"1. N-UNCOUNT Hospitality is friendly, welcoming behaviour toward guests or people you have just met. | 2. N-UNCOUNT Hospitality is the food, drink, and other privileges which some companies provide for their visitors or clients at major sports events or other public events. (","N-UNCOUNT ___ is friendly, welcoming behaviour toward guests or people you have just met.",殷勤好客 | 在重大体育赛事或其他公共活动中，一些公司为客人提供的) 食物、饮料和其它优待,Unit 5
hostel,[ˈhɒst(ə)l],N/A,"1. N a building providing overnight accommodation, as for the homeless, etc (","N a building providing overnight accommodation, as for the homeless, etc (",流浪者等的)过夜住宿处,Unit 5
fascinating,[ˈfæsɪneɪtɪŋ],2 / 5,"1. ADJ If you describe something as fascinating , you find it very interesting and attractive, and your thoughts tend to concentrate on it.","ADJ If you describe something as ___ , you find it very interesting and attractive, and your thoughts tend to concentrate on it.",迷人的,Unit 5
option,[ˈɒpʃ(ə)n],4 / 5,"1. N-COUNT An option is something that you can choose to do in preference to one or more alternatives. | 2. N-SING If you have the option of doing something, you can choose whether to do it or not. | 3. N-COUNT In business, an option is an agreement or contract that gives someone the right to buy or sell something such as property or shares at a future date.",N-COUNT An ___ is something that you can choose to do in preference to one or more alternatives.,供选择的东西 | 选择权 | 购买权; 出售权; 期权 [商业] | 选修课 [英国英语] | 暂不做决定,Unit 5
municipal,[mjuːˈnɪsɪp(ə)l],2 / 5,1. ADJ Municipal means associated with or belonging to a city or town that has its own local government.,ADJ ___ means associated with or belonging to a city or town that has its own local government.,市政的 [ADJ n],Unit 5
imperial,[ɪmˈpɪəriəl],2 / 5,"1. ADJ Imperial is used to refer to things or people that are or were connected with an empire. | 2. ADJ The imperial system of measurement uses inches, feet, yards and miles to measure length, ounces and pounds to measure weight, and pints, quarts and gallons to measure volume. (",ADJ ___ is used to refer to things or people that are or were connected with an empire.,帝国的 [ADJ n] | 度量衡) 英制的 [ADJ n],Unit 5
visible,[ˈvɪzəb(ə)l],3 / 5,"1. ADJ If something is visible , it can be seen. | 2. ADJ You use visible to describe something or someone that people notice or recognize. | 3. ADV visibly","ADJ If something is ___ , it can be seen.",可见的 | 明显的 | 明显地,Unit 5
shroud,[ʃraʊd],1 / 5,"1. N-COUNT A shroud is a cloth which is used for wrapping a dead body. | 2. V-T If something has been shrouded in mystery or secrecy, very little information about it has been made available. | 3. V-T If darkness, fog, or smoke shrouds an area, it covers it so that it is difficult to see.",N-COUNT A ___ is a cloth which is used for wrapping a dead body.,裹尸布 | 掩盖 | 笼罩,Unit 5
compound,[ˈkɒmpaʊnd],2 / 5,"1. N-COUNT A compound is an enclosed area of land that is used for a particular purpose. | 2. N-COUNT In chemistry, a compound is a substance that consists of two or more elements. | 3. N-COUNT If something is a compound of different things, it consists of those things.",N-COUNT A ___ is an enclosed area of land that is used for a particular purpose.,作特定用途的围地 | 化合物 | 混合物 [正式] | 复合的 [ADJ n] | 通过混合或化合制成 | 加剧 | 合成的 (词) [ADJ n],Unit 5
slowdown,[ˈsləʊdaʊn],1 / 5,1. N-COUNT A slowdown is a reduction in speed or activity. | 2. N-COUNT A slowdown is a protest in which workers deliberately work slowly and cause problems for their employers.,N-COUNT A ___ is a reduction in speed or activity.,减速; 减退 | 怠工抗议 [美国英语] [商业],Unit 5
fall for,[fɔːl fɔː],2 / 5,"If you fall for someone, you are strongly attracted to them and start loving them.","If you ___ someone, you are strongly attracted to them and start loving them.",被……所迷住 | 上当，受骗,Unit 5
charm,[tʃɑːm],2 / 5,"1. N-VAR Charm is the quality of being pleasant or attractive. | 2. N-UNCOUNT Someone who has charm behaves in a friendly, pleasant way that makes people like them. ( | 3. V-T If you charm someone, you please them, especially by using your charm. (",N-VAR ___ is the quality of being pleasant or attractive.,魅力 | 人的) 魅力 | 用魅力) 取悦 | 手链或项链上的) 挂坠 | 符咒 | 众人说话或群鸟发出的)噪声 [Southwest English] [DIALECT],Unit 5
gear,[ɡɪə(r)],3 / 5,1. N-COUNT The gears on a machine or vehicle are a device for changing the rate at which energy is changed into motion. | 2. N-UNCOUNT The gear involved in a particular activity is the equipment or special clothing that you use. ( | 3. N-UNCOUNT Gear means clothing.,N-COUNT The ___s on a machine or vehicle are a device for changing the rate at which energy is changed into motion.,排挡 | 用于特定活动的) 设备、服装 | 衣服 [非正式] | 使适合,Unit 5
ethnic,[ˈeθnɪk],3 / 5,"1. ADJ Ethnic means connected with or relating to different racial or cultural groups of people. | 2. ADV ethnically | 3. ADJ You can use ethnic to describe people who belong to a particular racial or cultural group but who, usually, do not live in the country where most members of that group live.",ADJ ___ means connected with or relating to different racial or cultural groups of people.,种族的 | 种族上地 | 少数民族的 [ADJ n] | 少数民族地 [ADV adj] | 具有民族特色的,Unit 5
generate,[ˈdʒenəreɪt],3 / 5,1. V-T To generate something means to cause it to begin and develop. | 2. V-T To generate a form of energy or power means to produce it.,V-T To ___ something means to cause it to begin and develop.,造成 | 产生 (电等能量),Unit 5
domestic,[dəˈmestɪk],4 / 5,"1. ADJ Domestic political activities, events, and situations happen or exist within one particular country. | 2. see also gross domestic product | 3. ADJ Domestic duties and activities are concerned with the running of a home and family.","ADJ ___ political activities, events, and situations happen or exist within one particular country.",国内的 | 家务的 [ADJ n] | 家用的 [ADJ n] | 家庭的 | 家养的; 饲养的,Unit 5
